
======================================================================
  Arbitrage Paper Trading System
  Exchanges: binance, kraken, coinbase
  Symbols: BTC-USD, ETH-USD, SOL-USD
  Redis: connected
  Database: connected
  API Server: http://localhost:8000
  Starting Balance: $10,000.00
  Press Ctrl+C to stop
======================================================================

[10:16:22] Messages: 20000 (binance=18904  kraken=22  coinbase=1074) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:16:22] Messages: 20000 (binance=18904  kraken=22  coinbase=1074) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:16:22] Messages: 20200 (binance=19103  kraken=22  coinbase=1075) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:16:22] Messages: 20400 (binance=19302  kraken=22  coinbase=1076) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:16:25] Messages: 20800 (binance=19666  kraken=22  coinbase=1112) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:16:29] Messages: 21000 (binance=19842  kraken=23  coinbase=1135) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:16:29] Messages: 21200 (binance=20039  kraken=23  coinbase=1138) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:16:29] Messages: 21400 (binance=20237  kraken=23  coinbase=1140) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:16:29] Messages: 21600 (binance=20434  kraken=23  coinbase=1143) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:16:29] Messages: 21800 (binance=20633  kraken=23  coinbase=1144) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:16:31] Messages: 22200 (binance=21009  kraken=23  coinbase=1168) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
[10:16:32] Messages: 22400 (binance=21190  kraken=23  coinbase=1187) | Opportunities: 0 | Trades: 0 | P&L: $+0.00 | Balance: $10,000.00
